Ratio,Rating,FG Color,BG Color
1.00,F,005C84,495961
1.00,F,495961,005C84
1.00,F,4E5961,8D3970
1.00,F,8D3970,4E5961
1.00,F,C1D100,FCBC00
1.00,F,FCBC00,C1D100
1,F,005C84,005C84
1,F,3CBAC6,3CBAC6
1,F,495961,495961
1,F,4BB694,4BB694
1,F,4E5961,4E5961
1,F,758D9A,758D9A
1,F,8D3970,8D3970
1,F,9FB1BD,9FB1BD
1,F,B3DBD2,B3DBD2
1,F,C1D100,C1D100
1,F,E1E8EC,E1E8EC
1,F,E73037,E73037
1,F,EF7D00,EF7D00
1,F,FCB000,FCB000
1,F,FCBC00,FCBC00
1,F,FFFFFF,FFFFFF
1.01,F,495961,4E5961
1.01,F,4E5961,495961
1.02,F,005C84,4E5961
1.02,F,495961,8D3970
1.02,F,4E5961,005C84
1.02,F,8D3970,495961
1.03,F,005C84,8D3970
1.03,F,8D3970,005C84
1.05,F,3CBAC6,9FB1BD
1.05,F,9FB1BD,3CBAC6
1.07,F,3CBAC6,4BB694
1.07,F,4BB694,3CBAC6
1.08,F,FCB000,FCBC00
1.08,F,FCBC00,FCB000
1.09,F,C1D100,FCB000
1.09,F,FCB000,C1D100
1.10,F,4BB694,EF7D00
1.10,F,EF7D00,4BB694
1.12,F,4BB694,9FB1BD
1.12,F,9FB1BD,4BB694
1.12,F,B3DBD2,C1D100
1.12,F,C1D100,B3DBD2
1.13,F,B3DBD2,FCBC00
1.13,F,FCBC00,B3DBD2
1.18,F,3CBAC6,EF7D00
1.18,F,EF7D00,3CBAC6
1.19,F,9FB1BD,FCB000
1.19,F,FCB000,9FB1BD
1.21,F,B3DBD2,E1E8EC
1.21,F,E1E8EC,B3DBD2
1.23,F,758D9A,E73037
1.23,F,B3DBD2,FCB000
1.23,F,E1E8EC,FFFFFF
1.23,F,E73037,758D9A
1.23,F,FCB000,B3DBD2
1.23,F,FFFFFF,E1E8EC
1.24,F,9FB1BD,EF7D00
1.24,F,EF7D00,9FB1BD
1.25,F,3CBAC6,FCB000
1.25,F,FCB000,3CBAC6
1.26,F,758D9A,EF7D00
1.26,F,EF7D00,758D9A
1.29,F,9FB1BD,FCBC00
1.29,F,FCBC00,9FB1BD
1.30,F,9FB1BD,C1D100
1.30,F,C1D100,9FB1BD
1.34,F,4BB694,FCB000
1.34,F,FCB000,4BB694
1.36,F,3CBAC6,FCBC00
1.36,F,C1D100,E1E8EC
1.36,F,E1E8EC,C1D100
1.36,F,FCBC00,3CBAC6
1.37,F,3CBAC6,C1D100
1.37,F,C1D100,3CBAC6
1.37,F,E1E8EC,FCBC00
1.37,F,FCBC00,E1E8EC
1.39,F,4BB694,758D9A
1.39,F,758D9A,4BB694
1.46,F,4BB694,FCBC00
1.46,F,FCBC00,4BB694
1.47,F,4BB694,C1D100
1.47,F,9FB1BD,B3DBD2
1.47,F,B3DBD2,9FB1BD
1.47,F,C1D100,4BB694
1.49,F,3CBAC6,758D9A
1.49,F,758D9A,3CBAC6
1.49,F,E1E8EC,FCB000
1.49,F,EF7D00,FCB000
1.49,F,FCB000,E1E8EC
1.49,F,FCB000,EF7D00
1.50,F,B3DBD2,FFFFFF
1.50,F,FFFFFF,B3DBD2
1.54,F,3CBAC6,B3DBD2
1.54,F,B3DBD2,3CBAC6
1.55,F,E73037,EF7D00
1.55,F,EF7D00,E73037
1.57,F,758D9A,9FB1BD
1.57,F,9FB1BD,758D9A
1.62,F,C1D100,EF7D00
1.62,F,EF7D00,C1D100
1.62,F,EF7D00,FCBC00
1.62,F,FCBC00,EF7D00
1.65,F,8D3970,E73037
1.65,F,E73037,8D3970
1.66,F,4BB694,B3DBD2
1.66,F,4E5961,E73037
1.66,F,B3DBD2,4BB694
1.66,F,E73037,4E5961
1.69,F,495961,E73037
1.69,F,C1D100,FFFFFF
1.69,F,E73037,495961
1.69,F,FFFFFF,C1D100
1.70,F,005C84,E73037
1.70,F,E73037,005C84
1.70,F,FCBC00,FFFFFF
1.70,F,FFFFFF,FCBC00
1.72,F,4BB694,E73037
1.72,F,E73037,4BB694
1.78,F,9FB1BD,E1E8EC
1.78,F,E1E8EC,9FB1BD
1.83,F,B3DBD2,EF7D00
1.83,F,EF7D00,B3DBD2
1.85,F,3CBAC6,E73037
1.85,F,E73037,3CBAC6
1.85,F,FCB000,FFFFFF
1.85,F,FFFFFF,FCB000
1.87,F,3CBAC6,E1E8EC
1.87,F,E1E8EC,3CBAC6
1.88,F,758D9A,FCB000
1.88,F,FCB000,758D9A
1.94,F,9FB1BD,E73037
1.94,F,E73037,9FB1BD
2.01,F,4BB694,E1E8EC
2.01,F,E1E8EC,4BB694
2.04,F,758D9A,8D3970
2.04,F,758D9A,FCBC00
2.04,F,8D3970,758D9A
2.04,F,FCBC00,758D9A
2.05,F,758D9A,C1D100
2.05,F,C1D100,758D9A
2.06,F,4E5961,758D9A
2.06,F,758D9A,4E5961
2.09,F,495961,758D9A
2.09,F,758D9A,495961
2.10,F,005C84,758D9A
2.10,F,758D9A,005C84
2.21,F,9FB1BD,FFFFFF
2.21,F,FFFFFF,9FB1BD
2.22,F,E1E8EC,EF7D00
2.22,F,EF7D00,E1E8EC
2.31,F,758D9A,B3DBD2
2.31,F,B3DBD2,758D9A
2.32,F,3CBAC6,FFFFFF
2.32,F,E73037,FCB000
2.32,F,FCB000,E73037
2.32,F,FFFFFF,3CBAC6
2.49,F,4BB694,FFFFFF
2.49,F,FFFFFF,4BB694
2.52,F,E73037,FCBC00
2.52,F,FCBC00,E73037
2.54,F,C1D100,E73037
2.54,F,E73037,C1D100
2.57,F,8D3970,EF7D00
2.57,F,EF7D00,8D3970
2.59,F,4E5961,EF7D00
2.59,F,EF7D00,4E5961
2.63,F,495961,EF7D00
2.63,F,EF7D00,495961
2.65,F,005C84,EF7D00
2.65,F,EF7D00,005C84
2.76,F,EF7D00,FFFFFF
2.76,F,FFFFFF,EF7D00
2.81,F,758D9A,E1E8EC
2.81,F,E1E8EC,758D9A
2.85,F,4BB694,8D3970
2.85,F,8D3970,4BB694
2.86,F,B3DBD2,E73037
2.86,F,E73037,B3DBD2
2.87,F,4BB694,4E5961
2.87,F,4E5961,4BB694
2.91,F,495961,4BB694
2.91,F,4BB694,495961
